cutoff_date,ID,end_modified,end_true
356,RI-2020-38-2020,4,4
356,QUE-2018-02-2018,4,4
356,RI-2020-44-2020,4,4
356,RI-2020-39-2020,4,4
356,VA-2019-50-2019,4,4
356,RI-2020-35-2020,4,4
356,ME-2020-16-2020,4,4
356,VT-2020-06-2020,4,4
356,VA-2018-05-2018,4,4
356,VA-2019-35-2019,4,4
356,RI-2020-34-2020,4,4
356,ME-2018-12-2018,4,4
356,VT-2021-26-2021,4,4
356,NY-2019-10-2019,4,4
356,VA-2020-63-2020,4,4
356,RI-2020-33-2020,4,4
356,RI-2021-50-2021,4,4
356,RI-2021-47-2021,3,3
356,NY-2019-13-2019,4,4
