cutoff_date,ID,end_modified,end_true
122,AL-2021-08-2021,4,4
122,MD-2021-21-2021,4,4
122,NC-2020-06-2020,4,4
136,SC-2021-19-2021,3,4
136,SC-2019-05-2019,4,4
136,AL-2021-08-2021,4,4
136,MD-2021-21-2021,4,4
136,NC-2020-06-2020,5,5
153,SC-2021-19-2021,3,4
153,SC-2019-05-2019,4,4
153,AL-2021-08-2021,4,4
153,MD-2021-21-2021,4,4
153,NC-2020-06-2020,5,5
167,SC-2021-19-2021,5,5
167,SC-2019-05-2019,4,4
167,AL-2021-08-2021,4,4
167,MD-2021-21-2021,4,4
167,NC-2020-06-2020,4,4
75,VA-2020-52-2020,5,3
75,NC-2020-20-2020,1,1
75,GA-2020-08-2020,3,3
75,NJ-2018-03-2019,3,3
75,NC-2019-03-2019,3,3
75,FL-2022-06-2022,3,3
75,MD-2020-12-2020,1,1
75,SC-2021-18-2021,3,3
75,NC-2020-11-2020,1,1
75,NC-2019-02-2019,3,3
75,AL-2022-19-2022,3,3
75,NC-2020-14-2020,3,3
75,NC-2020-07-2020,3,3
75,NC-2021-24-2021,3,3
75,QUE-2020-17-2021,5,3
92,VA-2020-52-2020,4,3
92,NC-2020-20-2020,1,1
92,NC-2020-20-2020,1,1
92,GA-2020-08-2020,3,3
92,NJ-2018-03-2019,3,3
92,NC-2019-03-2019,3,3
92,FL-2022-06-2022,3,3
92,MD-2020-12-2020,3,3
92,SC-2021-18-2021,3,3
92,NC-2020-11-2020,3,4
92,NC-2019-02-2019,3,3
92,AL-2022-19-2022,4,4
92,NC-2020-14-2020,3,3
92,NC-2020-07-2020,3,3
92,VA-2019-21-2019,1,1
92,NC-2021-24-2021,3,3
92,QUE-2020-17-2021,5,3
92,VA-2020-57-2020,3,3
106,VA-2020-52-2020,4,4
106,NC-2020-20-2020,3,3
106,GA-2020-08-2020,4,4
106,VA-2019-12-2019,3,3
106,NJ-2018-03-2019,3,3
106,NC-2019-03-2019,3,3
106,VA-2020-78-2021,4,4
106,SC-2021-18-2021,4,4
106,NC-2020-11-2020,4,4
106,NC-2019-02-2019,4,4
106,AL-2022-19-2022,4,4
106,NC-2020-14-2020,4,4
106,NC-2020-07-2020,2,2
106,SC-2020-17-2020,4,4
106,NC-2021-24-2021,3,3
106,QUE-2020-17-2021,4,4
106,VA-2020-57-2020,3,3
122,VA-2020-52-2020,4,4
122,NC-2020-20-2020,5,3
122,GA-2020-08-2020,4,4
122,VA-2019-12-2019,4,4
122,NJ-2018-03-2019,4,4
122,NC-2019-03-2019,4,4
122,VT-2021-28-2022,4,4
122,FL-2022-06-2022,4,4
122,VA-2020-78-2021,4,4
122,MD-2020-12-2020,4,4
122,SC-2021-18-2021,4,4
122,NC-2020-11-2020,5,5
122,NC-2019-02-2019,4,4
122,AL-2022-19-2022,4,4
122,NC-2020-14-2020,5,4
122,NC-2020-07-2020,4,4
122,SC-2020-17-2020,5,5
122,QUE-2020-17-2021,5,5
136,VA-2020-52-2020,4,4
136,NC-2020-20-2020,4,4
136,GA-2020-08-2020,5,5
136,VA-2019-12-2019,4,4
136,NJ-2018-03-2019,4,4
136,NC-2019-03-2019,4,4
136,VT-2021-28-2022,5,4
136,FL-2022-06-2022,4,4
136,VA-2020-78-2021,4,4
136,MD-2020-12-2020,4,4
136,SC-2021-18-2021,4,4
136,NC-2020-11-2020,5,5
136,NC-2019-02-2019,5,5
136,AL-2022-19-2022,4,4
136,NC-2020-14-2020,4,4
136,NC-2020-07-2020,5,5
136,VA-2019-21-2019,5,5
136,SC-2020-17-2020,5,5
136,NC-2021-24-2021,4,4
136,QUE-2020-17-2021,5,5
136,VA-2020-57-2020,5,5
153,VA-2020-52-2020,4,4
153,NC-2020-20-2020,4,4
153,GA-2020-08-2020,5,5
153,VA-2019-12-2019,5,5
153,NJ-2018-03-2019,5,5
153,NC-2019-03-2019,4,4
153,VT-2021-28-2022,4,4
153,FL-2022-06-2022,5,5
153,VA-2020-78-2021,4,4
153,MD-2020-12-2020,5,5
153,SC-2021-18-2021,4,4
153,NC-2020-11-2020,5,5
153,NC-2019-02-2019,5,5
153,AL-2022-19-2022,5,5
153,NC-2020-14-2020,5,5
153,NC-2020-07-2020,5,5
153,VA-2019-21-2019,4,4
153,SC-2020-17-2020,5,5
153,NC-2021-24-2021,5,5
153,QUE-2020-17-2021,4,4
153,VA-2020-57-2020,4,4
167,VA-2020-52-2020,5,5
167,NC-2020-20-2020,4,4
167,GA-2020-08-2020,4,4
167,VA-2019-12-2019,5,5
167,NJ-2018-03-2019,5,5
167,NC-2019-03-2019,4,4
167,VT-2021-28-2022,4,4
167,FL-2022-06-2022,4,4
167,VA-2020-78-2021,4,4
167,MD-2020-12-2020,5,5
167,SC-2021-18-2021,5,5
167,NC-2020-11-2020,4,4
167,NC-2019-02-2019,4,4
167,AL-2022-19-2022,5,5
167,NC-2020-14-2020,4,4
167,NC-2020-07-2020,5,5
167,VA-2019-21-2019,4,4
167,SC-2020-17-2020,4,4
167,NC-2021-24-2021,4,5
167,QUE-2020-17-2021,5,5
167,VA-2020-57-2020,4,4
