event_id,primary_step_state,primary_point_state,nesting_attempt
31940985885,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31940985891,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31940985893,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31940985896,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31940985897,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31940985898,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31940985899,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31940985900,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31940985906,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31940985908,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31942845423,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31942845426,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31942845427,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31942845430,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31942845431,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31942845434,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31942845436,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31942845437,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31964840670,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31964840673,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31964840676,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31964840677,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31964840680,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31964840682,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31964840684,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31964840688,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31964840689,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31964840692,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31964840694,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31964840697,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31964840698,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31964840699,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31964840700,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31964840704,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31964840707,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31964840710,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31964840711,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31964840712,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31964840713,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31964840717,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31988650943,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31988650944,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32035472724,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32035472729,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32035472731,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32035472734,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32035472739,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32035472741,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32081963802,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32081963803,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32081963805,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32081963806,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32081963808,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32081963809,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32081963812,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32081963813,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32081963814,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32081963815,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32081963819,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32081963822,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32081963823,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32081963824,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32081963827,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32081963828,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32081963831,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32081963832,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
