cutoff_date,ID,variable_to_test,end_modified,end_true
92,NC-2021-25-2021,log_mean_dist_7,4,3
92,NC-2021-25-2021,residence_time,4,3
92,NC-2021-25-2021,dist_start,4,3
92,NC-2021-25-2021,breeding_abundance,4,3
92,GA-2021-14-2021,y,4,4
92,GA-2021-14-2021,julian_day,3,4
92,GA-2021-14-2021,log_mean_dist_7,4,4
92,GA-2021-14-2021,residence_time,4,4
92,GA-2021-14-2021,dist_start,4,4
92,GA-2021-14-2021,breeding_abundance,4,4
92,VA-2020-71-2021,y,5,5
92,VA-2020-71-2021,julian_day,5,5
92,VA-2020-71-2021,log_mean_dist_7,5,5
92,VA-2020-71-2021,residence_time,5,5
92,VA-2020-71-2021,dist_start,5,5
92,VA-2020-71-2021,breeding_abundance,5,5
92,QUE-2019-08-2020,y,4,3
92,QUE-2019-08-2020,julian_day,4,3
92,QUE-2019-08-2020,log_mean_dist_7,4,3
92,QUE-2019-08-2020,residence_time,4,3
92,QUE-2019-08-2020,dist_start,4,3
92,QUE-2019-08-2020,breeding_abundance,4,3
92,NJ-2018-05-2019,y,2,2
92,NJ-2018-05-2019,julian_day,2,2
92,NJ-2018-05-2019,log_mean_dist_7,2,2
92,NJ-2018-05-2019,residence_time,2,2
92,NJ-2018-05-2019,dist_start,2,2
92,NJ-2018-05-2019,breeding_abundance,2,2
92,AL-2020-04-2020,y,4,4
92,AL-2020-04-2020,y,4,4
92,AL-2020-04-2020,julian_day,3,4
92,AL-2020-04-2020,julian_day,3,4
92,AL-2020-04-2020,log_mean_dist_7,4,4
92,AL-2020-04-2020,log_mean_dist_7,4,4
92,AL-2020-04-2020,residence_time,4,4
92,AL-2020-04-2020,residence_time,4,4
92,AL-2020-04-2020,dist_start,4,4
92,AL-2020-04-2020,dist_start,4,4
92,AL-2020-04-2020,breeding_abundance,4,4
92,AL-2020-04-2020,breeding_abundance,4,4
92,NC-2020-13-2020,y,4,4
92,NC-2020-13-2020,julian_day,3,4
92,NC-2020-13-2020,log_mean_dist_7,4,4
92,NC-2020-13-2020,residence_time,4,4
92,NC-2020-13-2020,dist_start,4,4
92,NC-2020-13-2020,breeding_abundance,3,4
92,SC-2021-22-2021,y,4,4
92,SC-2021-22-2021,julian_day,3,4
92,SC-2021-22-2021,log_mean_dist_7,4,4
92,SC-2021-22-2021,residence_time,4,4
92,SC-2021-22-2021,dist_start,4,4
92,SC-2021-22-2021,breeding_abundance,4,4
92,AL-2021-09-2021,y,2,2
92,AL-2021-09-2021,julian_day,2,2
92,AL-2021-09-2021,log_mean_dist_7,2,2
92,AL-2021-09-2021,residence_time,2,2
92,AL-2021-09-2021,dist_start,2,2
92,AL-2021-09-2021,breeding_abundance,2,2
92,NC-2021-26-2021,y,3,3
92,NC-2021-26-2021,julian_day,3,3
92,NC-2021-26-2021,log_mean_dist_7,3,3
92,NC-2021-26-2021,residence_time,3,3
92,NC-2021-26-2021,dist_start,3,3
92,NC-2021-26-2021,breeding_abundance,3,3
92,MD-2021-22-2021,y,4,4
92,MD-2021-22-2021,julian_day,3,4
92,MD-2021-22-2021,log_mean_dist_7,4,4
92,MD-2021-22-2021,residence_time,4,4
92,MD-2021-22-2021,dist_start,4,4
92,MD-2021-22-2021,breeding_abundance,4,4
